(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
1, Pregnant women that received a tetanus vaccine (%).,, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, Maternal Health, Results Chain: HNP,,,,,,,
2,#  women trained in their legal rights,, Outreach & awareness-raising,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
3,"# of ""misplaced"" files",,,3,Rule of law,,n/a,"WB; Improve filing system to eliminate ""lost"" files; Results Chain: Judicial and Legal Sector Reform",,,,,,,,,
4,"# of Community representatives trained in planning and budget processes, citizens' rights, remedies/recourses, etc.",,,5,Public sector governance,,n/a,WB; Create avenues for Citizens' Participation in local governance; Results Chain: Decentralization,,,,,,,,,
5,# of complaints received and investigated.,, Create/strengthen judicial inspection unit or non-judicial investigative body to review complaint,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
6,# of court reporters trained,, Develop Court Reporting Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
7,# of courtroom staff/judges/higher level managers trained in use of courtroom management system,, Develop Courtroom Management Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
8,# of courtrooms with facilities for physically challenged individuals,, Rehabilitation of court facilities for use by physically challenged individuals,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
9,# of courts producing statistics on workload and workflow,, Improved Courtroom Management,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
10,# of dimensions presented in public classification using GFS COFOG standards (PI-5),, Improved Budget Presentation,5,Public sector governance,,n/a,WB, Budget Transparency, Results Chain: Public Financial Management,,,,,,,
11,# of Internal/external auditors trained on audit standards,, Train internal and external auditors,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
12,# of interpreters/translators hired,, Strengthen Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
13,# of interpreters/translators trained,, Strengthen Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
14,# of judges and staff recruited,, Strengthen Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
15,# of judges and staff trained,, Strengthen Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
16,# of legal education public events held,, Legal education of general public,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
17,# of local staff hired,, Develop local capacity,5,Public sector governance,,n/a,WB, Results Chain: Decentralization,,,,,,,,
18,# of local staff trained,,,5,Public sector governance,,n/a,WB; Develop local capacity; Results Chain: Decentralization,,,,,,,,,
19,# of MDAs for which functional review completed,, Undertake Functional Review,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
20,# of MDAs implementing restructuring plan,, Implement restructuring,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
